Dia;Mes;Ano;FullName;TweetText;Link(s);Media;Retweets;Favorites;Followers;Follows;Listed
8;5;2019;Jair M. Bolsonaro;Mais uma novidade: no Governo Jair Bolsonaro em mais de 2.000 escolas do Nordeste foram instalados pontos de internet. Nossos parabéns ao Ministro @Astro_Pontes .;;pic.twitter.com/NCNWDhxcYd;524;2691;4169706;336;4339
7;5;2019;Jair M. Bolsonaro;Entrevista com @LucianaGimenez . (07/05/2019), na @RedeTV . Assista.;https://bit.ly/2YkrhQv;;220;1221;4169128;336;4339
7;5;2019;Jair M. Bolsonaro;Hoje demos mais um passo em direção à liberdade e direitos individuais em nossa nação. Assinei Decreto dos CACs, que flexibiliza regras sobre aquisição, registro, posse, porte e comercialização de armas de fogo para colecionadores, atiradores esportivos e caçadores. Grande Dia!;;;856;5557;4167692;336;4341
7;5;2019;Jair M. Bolsonaro;Além dos inúmeros leilões de ferrovias, portos, aeroportos e rodovias já promovidos pelo nosso governo, que levarão desenvolvimento para todo o Brasil, outras concessões serão realizadas ainda em 2019, devendo atrair mais R$ 9,1 BILHÕES em investimentos para o nosso país. 🇧🇷;;;339;2373;4163870;335;4333
7;5;2019;Jair M. Bolsonaro;🇧🇷;;https://pbs.twimg.com/media/D59ZXSnWkAAjy4Q.jpg;906;5301;4162824;335;4331
6;5;2019;Jair M. Bolsonaro;Em atividade no @MinEconomia expusemos alguns pontos sobre a o atual cenário político e econômico do Brasil.;http://youtu.be/f7z2mtO2F7o;;131;957;4160360;335;4326
6;5;2019;Jair M. Bolsonaro;Gravando entrevista com a querida @LucianaGimenez . Irá ao ar amanhã (07/05/2019), às 22:45, @RedeTV . 🇧🇷;;https://pbs.twimg.com/media/D56fWxWX4AcKsc8.jpg;1627;9431;4159174;335;4328
6;5;2019;Jair M. Bolsonaro;Aniversário de 130 anos do Colégio Militar do Rio de Janeiro.;;pic.twitter.com/bWZawFoW4j;3517;25664;4159174;335;4328
6;5;2019;Jair M. Bolsonaro;A Temporada de cruzeiros 2018/2019 na Bahia chega ao fim. De acordo com a Associação Brasileira de Cruzeiros Marítimos (Clia Brasil) foi registrado um incremento de 7% com relação a temporada 2017/2018. A próxima deverá crescer 10%.;;;2603;25695;4159174;335;4328
6;5;2019;Jair M. Bolsonaro;Agradeço ao Silvio e ao SBT pela grande oportunidade e por este agradável momento. Muito brigado também aos que nos assistiram! Excelente audiência. Desejo um bom início de semana a todos!;;;5841;60753;4159174;335;4328
6;5;2019;Jair M. Bolsonaro;Kkkkk... boa montagem! Vocês são demais! 👍🏻;;https://pbs.twimg.com/media/D52f6VsW4AAEc3d.jpg;16118;106171;4159174;335;4328
6;5;2019;Jair M. Bolsonaro;Vamos marcar! 👍 RT @DaniloGentili: 2/2) Por isso, ver o atual presidente citar meu programa de forma positiva hoje junto com @SilvioSantos foi uma grata e inédita surpresa. Continua sendo bem-vindo ao #TheNoite presidente @jairbolsonaro, bem como sempre foi mesmo antes de ser eleito. Te aguardamos e obrigado :);https://twitter.com/danilogentili/status/1125226052496822273;;4578;51948;4159174;335;4328
6;5;2019;Jair M. Bolsonaro;Uma muito legal conversa sobre Brasil com Silvio Santos. Agradeço muito a consideração!;http://youtu.be/_8FuEdyjJMg;;3847;30837;4159174;335;4328
5;5;2019;Jair M. Bolsonaro;Congresso dos Gideões 2019. Camboriú/SC.;http://youtu.be/yHfzSivmBiY;;1528;11972;4159174;335;4328
5;5;2019;Jair M. Bolsonaro;Hoje, às 22:10, participarei do Programa Silvio Santos, no SBT, em entrevista exclusiva. Nos vemos lá! 👍🏻;;;6798;48097;4159174;335;4328
5;5;2019;Jair M. Bolsonaro;Minha Casa Minha Vida:;;pic.twitter.com/4oyfIBLxMM;2962;16302;4159174;335;4328
5;5;2019;Jair M. Bolsonaro;Em meu Governo a chama da democracia será mantida sem qualquer regulamentação da mídia, aí incluída as sociais. Quem achar o contrário recomendo um estágio na Coréia do Norte ou Cuba.;;;11892;76220;4159174;335;4328
5;5;2019;Jair M. Bolsonaro;Projeto de lei anticrime amplia o Banco Nacional de Perfis Genéticos. A ideia é permitir que seja colhido material biológico de qualquer pessoa que cometa crime intencional e que a punição saia com mais velocidade, como em caso de estupros. Via @tvbrasilgov Entenda:;;pic.twitter.com/OZeg8yQxZi;4128;22746;4159174;335;4328
5;5;2019;Jair M. Bolsonaro;Para suprir uma lacuna de demanda deixada pela peste suína, o governo chinês autorizou exportadores de carne de porco do Brasil a embarcar também a gordura comestível do animal. A medida atende a um pedido feito pela Associação Brasileira de Proteína Animal (ABPA).;;;4226;37638;4159174;335;4328
4;5;2019;Jair M. Bolsonaro;Por meio da @AdvocaciaGeral, o governo orientou os órgãos federais a fazer reintegração de posse de imóveis públicos ocupados ou invadidos por “manifestantes” sem aguardar demoradas decisões, agilizando os serviços dos pagadores de impostos. Tudo dentro da lei.;;;5693;38959;4159174;335;4328
4;5;2019;Jair M. Bolsonaro;No dia de hoje mais de 150 foguetes, partindo da faixa de Gaza, foram lançados contra Israel, atingindo civis judeus.;;pic.twitter.com/XFnP74PdHA;6303;30647;4159174;335;4328
4;5;2019;Jair M. Bolsonaro;O @JusticaGovBR , @SF_Moro inaugurou o Centro Integrado de Inteligência Nacional. O objetivo é ampliar a troca de informações entre forças policiais, reforçando o combate ao crime organizado e tráfico de armas e drogas. Aguardamos apreciação do Pacote anti-crimes pelo Congresso.;;;5475;33705;4159174;335;4328
4;5;2019;Jair M. Bolsonaro;Qualquer empresa privada tem liberdade para promover valores e ideologias que bem entendem. O público decide o que faz. O que não pode ser permitido é o uso do dinheiro dos trabalhadores para isso. Não é censura, é respeito com a população brasileira.;;;11627;77987;4159174;335;4328
4;5;2019;Jair M. Bolsonaro;O que é a Medida Provisória da Liberdade Econômica?;;pic.twitter.com/qMZMJVmafI;4809;22427;4159174;335;4328
4;5;2019;Jair M. Bolsonaro;As expansões das linhas de produção promovidas pelo polo cervejeiro de Pernambuco, concentrado em Igarassu e Itapissuma, têm impactado positivamente nas operações de carga efetuadas pelo porto de Recife.;;;3268;30040;4159174;335;4328
3;5;2019;Jair M. Bolsonaro;Quando não há problemas no governo, a maior parte da mídia inventa alguma para ter o que falar e manipular. Informe-se sempre buscando uma mídia alternativa, pois infelizmente muitas das habituais não querem o melhor para o Brasil, somente para si mesmas!;;;10564;63505;4159174;335;4328
3;5;2019;Jair M. Bolsonaro;Discurso do nosso Chanceler Ernesto Araújo, que tem feito da política externa brasileira um exemplo, atuando de forma ímpar não somente em temas sensíveis como a crise na Venezuela, bem como em todas as participações do Brasil nas relações com o mundo:;http://youtu.be/fmYo29z8MUg;;2938;20318;4159174;335;4328
3;5;2019;Jair M. Bolsonaro;- Hélio Negão (@depheliolopes ) e seu irmão Jair Bolsonaro. - Impossível não se emocionar. - Jair Bolsonaro.;;pic.twitter.com/G8v42JlKXE;8366;47874;4159174;335;4328
3;5;2019;Jair M. Bolsonaro;Nova Portaria 1.082/19 do @@mdregional_br , gere os ‘Polos de Agricultura Irrigada’ desenvolvendo e aumentando a produtividade. Foco é gerar emprego e renda, alavancar desenvolvimento dos setores produtivos, organizando esforços e investimentos. Saiba mais;https://bit.ly/2PGusPa;;2368;15138;4159174;335;4328
3;5;2019;Jair M. Bolsonaro;Só o amor constrói!!! via @odiodobem;;https://pbs.twimg.com/media/D5p_TqlXkAUjzlp.jpg;4543;27404;4159174;335;4328
3;5;2019;Jair M. Bolsonaro;"Um forte abraço, Bibi @netanyahu! Shalom! 🇧🇷🇮🇱 RT @netanyahu: Thank you to my friend, Brazilian President @jairbolsonaro, the Brazilian National Congress, and the Brazilian people, for this moving tribute on Holocaust Remembrance Day. The words ""Holocaust Never Again"" were projected on the Brazilian National Congress buildings.";https://twitter.com/netanyahu/status/1124305066612133891;https://pbs.twimg.com/media/D5pVfsBWAAAPw_e.jpg;3922;31637;4159174;335;4328
3;5;2019;Jair M. Bolsonaro;"Entregues os ""Viadutos da Casa da Moeda"", na BR-101/RJ (Rio-Santos), na altura do município de Itaguaí (Baixada Fluminense), oferecendo segurança no trânsito, ajudando no escoamento do Distrito Industrial de Santa Cruz e no acesso às praias da Costa Verde. Via @MInfraestrutura";;https://pbs.twimg.com/media/D5pehaUWAAAh2aY.jpg;2864;18370;4159174;335;4328
3;5;2019;Jair M. Bolsonaro;Mais uma boa notícia: abertura do mercado da Argentina para abacates do Brasi! A primeira carga chegou em 30/04/19 e estão a caminho mais duas. O mercado foi aberto após a reunião bilateral da Ministra @TerezaCrisMS com representantes do governo argentino, ocorrida em janeiro.;;;5173;43784;4159174;335;4328
2;5;2019;Jair M. Bolsonaro;De 56 em 2016, caiu para apenas 1 o número de invasões no campo praticados pelo MST em 2019. A postura do atual governo, bem como o corte de recursos para esses parasitas, influenciou na significativa redução desses verdadeiros atos terroristas.;;;8752;55505;4159174;335;4328
2;5;2019;Jair M. Bolsonaro;Live de quinta-feira (02/05/2019) com o Presidente Bolsonaro abordando alguns assuntos da semana. Link da gravação disponível no youtube:;http://youtu.be/HkctbYCskw8;;2405;15190;4159174;335;4328
2;5;2019;Jair M. Bolsonaro;Muito obrigado pela homenagem! Belo anime! 👍🏻 (autor desconhecido);;https://pbs.twimg.com/media/D5l4kggXsAMewZO.jpg;17553;109708;4159174;335;4328
